Url,Name,Description,Tag
"https://izihun.com/","字魂网","字体下载_免费字体下载_商用字体设计定制--字魂网","字体研究社;"
"https://www.qiuziti.com/","求字体网","字体下载-求字体网提供中文和英文字体库下载、识别与预览服务,找字体的好帮手","字体研究社;"
"https://www.fontsquirrel.com/","松鼠字体","松鼠字体(Font Squirrel)搜寻互联网上高质量的合法免费字体。下载数千种完全合法,高质量的免费字体。","字体研究社;"
"https://www.hellofont.cn/","字由","字由是为设计师量身定做的一款字体下载管理工具。这里收集了国内外上千款精选字体，不仅让你轻松、自由和高效的使用字体，还为你展示了每款字体的详细信息和精选的字体文章。字由将成为你设计中的好帮手，让你领略字体在设计中的更多精彩。","字体研究社;"
"https://www.fontfabric.com/","fontfabric","一个数字型铸造厂，为各种品牌制作零售字体和自定义字体。分享对高级字体，书法和刻字的热情。","字体研究社;"
"https://www.100font.com/","100Font","一个专门收集「免费商用字体」的网站","字体研究社;"
"https://colorhunt.co/","色彩猎人","提供现成的优质配色示例","色彩实验室;"
"https://www.iloveimg.com/zh-cn/compress-image","在线压缩图片","压缩 JPG,PNG 或 GIF时保持最佳文件质量和压缩程度。一次缩小多个图片文件的尺寸。","图片处理;"
"https://masuit.com/","懒得勤快","拥有马克丁封禁全家桶，懒得勤快，互联网分享精神，勤于发现，乐于分享","资源集市;"
"https://v0v.bid/","Windows系统一句命令激活","一门古老的激活艺术","资源集市;"
"http://tool.liumingye.cn/douyin/","抖音短视频无水印解析下载","通过抖音视频分享链接下载抖音原片~","资源集市;"
"https://neal.fun/ambient-chaos/","白噪音在线生成","咖啡厅、雨天、火堆等白噪音合成器,让你在工作时更专注，睡觉时更安心,","在线工具;白噪音;"
"http://cp.anyknew.com/","拷贝兔","通过４个字符将文件共享到另一台电脑","在线工具;"
"https://cn.piliapp.com/counter/","计数器","简洁好用的计数器,支持键盘按键,各种尺寸屏幕完美适配","在线工具;"
"https://www.photopea.com/","Photoshop在线免费版","比PhotoShop原版更强大的在线工具","在线工具;"
"https://www.bilibili.com/h5/good-history","B站入站必刷榜单","B站成立以来最具有代表性的作品合集","优秀作品;"
"https://tophub.today/","今日热榜","一张网页看遍热榜。","信息流;"
"https://hitokoto.cn/","一言","一言是一个提供 API 服务的网站，可以用来获取一句句子。","信息流;"
"https://devtool.tech/html-md","HTML/URL To Markdown","在线输入网页网址转Markdown","在线工具;"
"https://flingtrainer.com/cn/community/forums/trainer-release/","风灵月影","游戏辅助工具发布","资源集市;"
"https://deershare.com/send","小鹿快传","简单安全高效的P2P文件传输服务","在线工具;"
"https://msdn.itellyou.cn/","我告诉你","Windows历史版本镜像收录下载站","资源集市;"
"https://github.com/trending","GitHub Trending","GitHub上当前最受欢迎的开源项目","资源集市;"
"https://www.todaybing.com/","必应壁纸","历史超清必应壁纸下载","壁纸;"
"https://photos.google.com/share/AF1QipNNQyeVrqxBdNmBkq9ILswizuj-RYJFNt5GlxJZ90Y6hx0okrVSLKSnmFFbX7j5Mg?key=RV8tSXVJVGdfS1RIQUI0Q3RZZVhlTmw0WmhFZ2V3","macOS壁纸","获取各世代的macOS壁纸","壁纸;"
"https://photos.google.com/share/AF1QipNi8VN2pw2Ya_xCV8eFgzEZmiXDy1-GwhXbqFtvXoH3HypF10as9puV8FdoVZpOZA?key=WkZjQTIxQTM5a01oZkNUYTE2ZllKTVJKZk1CMTR3","iOS壁纸","获取各世代的iOS壁纸","壁纸;"
"https://www.zhihu.com/topic/19776749/top-answers","知乎Top1000高票回答","知乎根话题精华(以前的)","优秀作品;"
"https://www.pixiv.net/ranking.php?mode=male","Pixiv福利插画!","插画P站最受男性喜欢排行榜资源","优秀作品;"
"https://convertio.co/zh/gif-mp4/","GIF到MP4转换器","可以将100MB以内的gif图片转换为MP4","在线工具;"
"https://buyersguide.macrumors.com/","Apple产品更新周期表","避免49年入国军","购物;"
"https://news.ycombinator.com/","Hacker News","内容品质极佳的英文论坛","信息流;"
"https://www.v2ex.com/go/meet","V2EX","V站创业组队,万事俱备,就差个程序员了","创业;"
"https://xclient.info/","Mac应用分享","风评一直不错的macOS应用分享站,借助第三方网盘进行存储,保留了软件的旧版本","资源集市;"
"https://www.deviantart.com/","DeviantArt","有点儿年头的艺术家们交流作品的社区,灵感富集地","信息流;资源集市;"
"https://trailers.apple.com/","Apple iTunes Movie Trailers","iTunes精美预告片合集,电影预告片可比正片好看多了","资源集市;"
"https://www.skypixel.com/","SkyPixel","专注航拍的摄影网站,世界各地航拍摄影师优秀航拍作品与航拍攻略。","资源集市;信息流;摄影;"
"https://1x.com/","1x","成片品质超棒的摄影作品集,每天观看一小时,美感将全面提升","资源集市;摄影;"
"https://www.behance.net/","Behance","设计师们的Github","信息流;资源集市;设计;"
"https://www.ted.com/","TED","TED演讲视频合集,优秀秀的思想可以改变人们对这个世界的看法","资源集市;信息流;视频;演讲;"
"https://www.producthunt.com/","Product Hunt","产品推荐网站,发现技术领域最好的新产品","信息流;产品;"
"https://www.52pojie.cn/forum-68-1.html","吾爱破解官方教学培训区","吾爱破解论坛公益课程","信息流;教程;"
"https://www.yikm.net/","在线小霸王游戏机","魂斗罗,雪人兄弟,超级玛丽,热血足球,三国志,合金弹头,拳皇...","在线游戏;"
"https://juejin.cn/pin/club/6824710203301167112","掘金上班摸鱼专题","掘金上班摸鱼专题,瞅瞅互联网工作者们日常在想什么","信息流;摸鱼;"
"https://uigradients.com/","UI Gradients","优秀的渐变色推荐","设计;"
"https://thepiratebay.org/","海盗湾","全球知名的种子下载站,存储了互联网百分之八十的非正版资源","资源集市;"
"https://blog.daliansky.net/","黑果小兵","提供黑苹果安装镜像,教程","资源集市;"
"https://beautyptt.cc/","PTT表特爬虫","一个专门爬取台湾PTT论坛表特板块好看妹子的网站","信息流;小姐姐;"
"https://www.ptt.cc/bbs/hotboards.html","PTT热门帖子","一个台湾的热榜页,可以看到台湾人日常讨论的话题,这个论坛风格很独特,是开源的 https://github.com/ptt/pttbbs","信息流;"
"https://jamcz.com/","晨钟酱","一个酷安开发达人,分享一些有趣的搞机小工具","手机;极客;"
"https://ffis.me/baidu/index.html","需要我帮你百度么?","一个输入问题,自动生成百度动画的小工具","创意;在线工具;"
"https://howlongtobeat.com/","一款游戏可以玩多久","统计每款主机游戏平均通关时间","游戏;信息流;"
"http://www.impawards.com/","历年电影海报","一个收集历年高清海报的资源站,设计师优秀学习资料","电影;海报;"
"https://uniform.wingzero.tw/","制服地图","全球各类学校的制服收集,制服摄影","制服;摄影;小姐姐;"
"https://www.dxomark.com/","DxO Mark","摄影老法师必看,相机评测网站,评测智能手机相机的画质,参数,拍照视频体验","摄影;评测;手机;"
"https://www.mydrivers.com/zhuanti/tianti/gpu/index.html","显卡天梯榜","各路显卡性能排名","评测;显卡;计算机;"
"https://clipdrop.co/relight","Relight","摄影是光影的艺术,在线工具可以为图片二次打光","设计;摄影;在线工具;"
"https://bluemaxima.org/flashpoint/","Flash游戏藏品","截止2022年,提供1.31TB的超过十万款款Flash游戏下载","游戏;资源集市;"
"https://huggingface.co/spaces/stabilityai/stable-diffusion","AI画图","输入英文,生成图片","设计;AI;"
"https://greasyfork.org/zh-CN/scripts?sort=total_installs","油猴脚本","油猴脚本安装量排行榜","极客;工具;"
"https://github.com/zhaoolee/pi","树莓派防吃灰","通过内网穿透,将信用卡尺寸的树莓派变成在线服务器","极客;树莓派;"
"https://www.youtube.com/user/cafemusicbgmchannel","咖啡时光","YouTube知名咖啡音乐频道,极好的居家办公娱乐BGM","音乐;"
"https://imisstheoffice.eu/","办公室白噪音模拟器","996福报模拟器","白噪音;"
"https://wallhaven.cc/","Wallhaven","据说是互联网上最好的壁纸站","壁纸;"
"https://tg.lv5.ac/","太鼓达人","太鼓达人在线模拟器","游戏;"